user_id,organization_id,start_date
n49mwj25e,VQWNO3,2022-04-29
s3egle6ox,AD9KRT,2022-07-13
6zj1ce653,UNJ7U8,2020-09-21
on7ahosbh,7T6I50,2022-07-12
iooaei3ab,JLXRGA,2022-12-12
aniylhmp0,GZC4Z3,2022-02-21
hapqrtdh5,8K6V37,2022-06-27
t7f2xav3h,JLXRGA,2022-12-30
477gmxo0n,VQWNO3,2022-11-08
kv0n5cc57,76OQME,2022-06-30
bkix6wru9,UNJ7U8,2021-08-20
pul3lgxhg,S94CQB,2021-11-03
tq3g32i78,TXO7FK,2022-02-27
z3ia9sbt0,8ZZY12,2022-10-20
lz6xl3qpz,INAKOO,2022-11-25
ydcb46y0v,YJ0QR3,2021-02-27
f3d0z2waj,J8C9F9,2022-04-04
lm2jbkm30,VQWNO3,2022-12-23
kdfkeovc8,S94CQB,2021-08-26
ftm6y3rd2,GZC4Z3,2022-10-14
w1rv9jjbw,WAO889,2022-06-11
1z77m31pt,WAO889,2022-01-01
6cfh14pjh,N6RH1N,2022-09-24
2ruuqbxeg,VFR95L,2022-06-06
y8ybkm3ry,N6RH1N,2022-09-18
xkxca4yay,8ZZY12,2022-11-26
n7lvv3va5,GZC4Z3,2022-10-08
